JX	1
JY	29
JZ	19
JW	29
0	3
G 	176
JV	10
GW	410
GV	39
GU	12066
GT	786
GS	1431
GR	8168
GQ	29
GP	68
�I	1
GZ	18
GY	779
GX	3
GG	2372
GF	151
GE	33344
GD	416
GC	77
GB	316
GA	20030
GO	11016
GN	2599
GM	415
GL	6943
GK	78
GJ	52
GI	9325
GH	5879
JL	49
JM	77
JN	107
JO	27451
JH	50
JI	2581
M 	141
3R	1
M.	3
VP	1
JT	74
HG	48
AU	24253
F 	54
G	17527
Z 	1296
JA	17778
JU	8072
JB	13
WX	1
ZL	546
ZM	860
ZN	290
ZO	2804
ZH	338
ZI	5015
ZJ	20
ZK	476
ZD	254
ZE	5802
ZF	61
ZG	340
ZA	12254
ZB	221
ZC	374
ZX	1
ZY	1029
ZZ	1798
ZT	78
ZU	1299
ZV	119
ZW	198
ZP	110
ZQ	469
ZR	304
ZS	197
ME	31178
MD	195
MG	193
MF	95
MA	96383
MC	3918
MB	4053
MM	6908
ML	448
MO	24704
MN	181
MI	28755
MH	121
MK	364
MJ	44
MU	8791
MT	96
MW	89
MV	17
MQ	45
MP	3447
MS	3970
MR	542
MY	2440
MX	1
MZ	168
FP	20
FQ	11
FR	16203
FS	387
FT	697
FU	1888
FV	8
FW	10
FX	1
FY	120
FZ	31
JP	12
FA	8288
FB	13
FC	47
FD	15
S.	2
FF	7035
FG	67
FH	29
FI	5975
FJ	11
FK	134
FL	4047
FM	840
FN	275
FO	5965
JQ	1
6	1
AP	4656
E	115825
F	6318
JR	4067
V	1843
SZ	1496
SY	2041
SX	1
SS	13774
SR	1403
SQ	1045
SP	3665
SW	1575
SV	309
SU	7960
ST	31850
SK	9742
SJ	101
SI	13543
SH	19598
SO	19610
SN	1740
SM	5579
SL	3338
SC	16059
SB	1227
SA	38903
SG	241
SF	240
F.	1
SD	378
YI	581
YH	180
YK	845
YJ	89
YM	4112
YL	4377
YO	4277
YN	6981
YA	5917
YC	1193
YB	621
YE	6477
YD	2786
YG	190
YF	166
YY	117
YX	7
YZ	123
YQ	7
YP	153
YS	1889
YR	1689
YU	1156
YT	705
YW	161
YV	662
LF	4222
LG	1510
LD	18018
LE	74453
LB	7440
LC	1455
LA	50783
LN	623
LO	33112
LL	48866
LM	5989
LJ	282
LK	2328
LH	1098
LI	53328
LV	6224
LW	491
LT	8296
LU	8759
LR	598
LS	5539
LP	2026
LQ	98
LZ	899
LX	20
LY	9778
A	112146
L 	881
L/	1
L,	1
Q	463
UG	7182
UF	2318
I	32059
P	5390
Y 	346
A�	1
RT	53428
RU	12917
RV	2771
RW	1010
RP	1315
RQ	505
RR	18689
RS	11051
RX	25
,	3
RZ	1953
RD	32112
RE	55731
RF	1015
RG	15211
RA	72390
RB	9075
RC	6673
RL	21359
RM	9433
RN	14054
RO	73463
RH	1791
RI	72959
RJ	923
RK	5976
R4	1
R6	1
R0	2
R3	1
L	57998
BG	16
R 	925
JK	131
R.	22
??	8
IX	1280
IZ	4923
E 	1505
VH	12
7	1
IP	3935
IS	35930
EM	10583
EL	72823
EO	11183
EN	65749
EI	14365
EH	4682
EK	3745
EJ	1397
EE	14112
ED	22738
EG	6884
EF	4185
EA	15736
EC	7874
EB	5987
EY	12746
EX	1708
W	4740
EZ	17960
EU	5265
ET	26769
EW	5761
EV	9285
EQ	157
EP	10691
ES	51177
ER	157304
L6	1
VQ	1
IK	4681
IJ	623
IM	12187
IL	40801
K 	195
IO	13007
IN	78628
IA	41720
IC	44116
X 	41
XJ	1
XK	1
XH	51
B	4255
XN	27
XO	210
XL	100
XM	23
XB	16
XC	7
XA	1101
XF	11
XG	2
XD	3
XE	219
XZ	3
XX	6
R	87415
XR	16
XS	48
XP	10
XQ	1
XV	2
XW	85
XT	257
XU	77
KC	34
KB	212
KA	14038
KG	14
KF	77
KE	16559
KD	59
KK	303
KJ	63
KI	16477
KH	3906
KO	9775
KN	1351
KM	655
KL	3522
KS	2806
KR	3493
KQ	4
KP	62
KW	509
KV	43
KU	3357
KT	141
KZ	18
KY	2172
KX	7
DN	1621
DO	26375
DL	1786
DM	1057
DJ	396
DK	242
DH	622
DI	18530
DF	313
DG	1522
DD	2853
DE	35554
DB	467
DC	106
DA	32305
Q 	1
XI	894
DZ	661
DX	1
DY	3523
DV	149
DW	4232
DT	1857
DU	6585
DR	12465
DS	2912
DP	31
DQ	42
M	23594
D.	1
QP	1
QS	9
QR	13
QU	6521
QT	4
QW	3
QV	12
QY	1
QX	1
QZ	4
D 	411
QA	273
QC	1
QB	61
QE	25
QD	3
QG	1
QF	1
QI	149
QH	2
QK	1
QJ	1
QM	9
QL	4
QO	15
QN	1
WG	17
WF	184
WE	8765
WD	282
WC	140
WB	94
WA	17800
BE	58719
WO	4165
WN	1751
WM	179
WL	717
WK	262
WJ	6
WI	19122
JS	50
WW	41
WV	18
WU	348
WT	130
WS	3608
WR	1927
WQ	2
WP	7
JD	103
JE	10280
JF	1
JG	6
WZ	68
WY	652
JC	131
.S	1
WH	1673
11	6
H	35816
X	3187
BK	100
W 	45
W,	1
PO	6295
J.	1
J 	4
BQ	1
PR	3910
PS	2019
PP	3259
PQ	1
PV	2
PW	19
PT	410
PU	1608
PZ	4
PX	1
PY	230
PB	291
PC	212
3	4
PA	22362
PF	657
PG	18
PD	40
PE	16642
PJ	7
PK	430
PH	15301
PI	5902
PN	98
K	25815
PL	1854
PM	194
0R	1
C	6436
0C	1
S	99581
P 	41
RY	24679
L�	1
VX	1
C 	76
.	28
CK	16284
CJ	18
CI	14346
CH	68540
CO	17655
CN	229
CM	247
CL	6956
CC	3498
CB	76
CA	27571
CG	425
CF	104
CE	18120
N	128430
CZ	1918
CY	2355
CX	1
CS	368
CR	4209
CQ	1099
CP	82
CW	66
CV	38
CU	3152
CT	2421
6O	1
IT	19906
/A	1
V 	2
I5	1
IV	5193
I 	411
IY	739
VA	16855
VB	7
VC	52
VD	48
VE	16678
VF	1
VG	23
IQ	943
VI	25464
VJ	17
IR	15094
VL	401
VM	4
IW	289
VO	3534
II	943
IH	779
VR	434
VS	368
VT	14
VU	265
VV	23
VW	5
Y	64441
VY	324
VZ	10
IB	3572
IE	32058
ID	15571
IG	10589
IF	3226
1	6
BD	2261
O.	1
BF	8
O,	1
BA	27093
BB	3148
BC	73
BL	4781
BM	52
BN	224
BO	13627
BH	431
BI	8728
BJ	107
O 	1179
BT	85
BU	6932
BV	27
BW	16
BP	1
TP	86
BR	13621
BS	1091
A.	5
BX	1
BY	2984
BZ	32
4	3
TJ	134
D	68020
T	58297
OK	2632
XY	5
OO	7727
ON	70447
OM	18761
OL	27543
B 	29
OJ	806
OI	3344
OH	13285
OG	5112
OF	3156
OE	5325
OD	9838
OC	5231
OB	28129
OA	3486
OZ	2669
OY	7206
OX	778
OW	9315
OV	5262
OU	17925
OT	10564
OS	31569
OR	50141
OQ	206
FE	8867
HZ	47
HX	1
HY	4163
HR	6771
HS	754
HP	48
HQ	6
HV	103
HW	1125
HT	2696
HU	11132
HJ	72
HK	379
HH	173
HI	18533
HN	11018
HO	24622
HL	4262
HM	4713
HB	449
HC	148
HA	73316
HF	175
U 	215
HD	318
HE	40254
JJ	91
S 	1479
/	1
SE	33032
?	4
IU	1404
O	54325
AQ	811
UY	1669
UX	884
UZ	2717
UU	125
UT	7096
UW	225
UV	571
UQ	181
UP	2213
US	16606
UR	18678
UM	5770
UL	19970
UO	655
UN	13055
UI	9319
UH	1927
UK	2072
UJ	562
UE	17144
UD	7761
H 	242
OP	5817
UA	6287
UC	6372
UB	4695
H7	1
