,	3
.	22
.F	1
.S	1
0	1
4I	1
6	1
6O	1
?	4
??	8
A	74027
A.	3
AA	995
AB	5814
AC	4135
AD	8258
AE	7484
AF	1422
AG	1449
AH	5886
AI	5516
AJ	632
AK	1223
AL	33588
AM	24891
AN	61655
AO	715
AP	421
AQ	344
AR	101419
AS	11735
AT	10472
AU	12309
AV	7485
AW	1604
AX	940
AY	6976
AZ	1147
B	1796
BA	10756
BB	1228
BC	1
BD	1441
BE	38332
BG	2
BH	214
BI	2761
BJ	20
BL	692
BM	6
BN	33
BO	2789
BR	3315
BS	12
BT	9
BU	918
BW	2
BY	1529
BZ	6
C	3199
CA	12703
CB	1
CC	428
CD	10
CE	11904
CF	2
CG	1
CH	34077
CI	7402
CJ	9
CK	3104
CL	3814
CM	4
CN	2
CO	4265
CP	2
CQ	862
CR	552
CS	13
CT	2093
CU	501
CY	1822
CZ	45
D	48657
DA	20376
DB	36
DC	3
DD	855
DE	9979
DF	42
DG	478
DH	128
DI	8278
DJ	107
DK	11
DL	140
DM	327
DN	1013
DO	15051
DP	2
DQ	2
DR	5903
DS	84
DT	27
DU	1746
DV	22
DW	3065
DY	1676
DZ	71
E	70189
EA	7100
EB	1754
EC	1687
ED	13743
EE	4625
EF	1552
EG	1763
EH	810
EI	2358
EJ	343
EK	528
EL	40487
EM	3585
EN	30982
EO	9129
EP	8149
EQ	61
ER	65361
ES	26304
ET	14649
EU	3188
EV	4533
EW	1449
EX	1067
EY	3862
EZ	576
F	1797
F.	1
FA	3047
FC	1
FD	4
FE	2155
FF	1059
FG	32
FH	2
FI	1179
FK	5
FL	1519
FM	2
FN	44
FO	1508
FP	3
FQ	3
FR	11847
FS	17
FT	150
FU	284
FW	4
FY	12
FZ	3
G	3578
GA	6221
GB	24
GC	22
GD	201
GE	18844
GF	59
GG	473
GH	771
GI	4112
GJ	23
GK	28
GL	3355
GM	69
GN	699
GO	1816
GP	8
GQ	4
GR	1395
GS	45
GT	42
GU	3043
GV	15
GW	211
GX	2
GY	455
GZ	2
H	18854
HA	41136
HB	43
HC	30
HD	148
HE	17721
HF	15
HG	8
HH	27
HI	6572
HJ	31
HK	29
HL	831
HM	1106
HN	6411
HO	10049
HP	22
HQ	1
HR	3045
HS	152
HT	259
HU	3861
HV	16
HW	52
HX	1
HY	3076
HZ	16
I	6263
IA	26798
IB	915
IC	30211
ID	9442
IE	15712
IF	1137
IG	1936
IH	266
II	59
IJ	275
IK	1530
IL	21101
IM	4893
IN	31706
IO	7199
IP	1433
IQ	510
IR	7226
IS	17538
IT	6968
IU	637
IV	1461
IW	44
IX	566
IY	387
IZ	1632
J	3631
J.	1
JA	12585
JB	5
JC	6
JD	10
JE	7836
JG	2
JH	23
JI	1226
JJ	20
JK	26
