1	3
3	2
4	2
A	689
B	453
C	702
D	491
E	146
F	281
G	506
H	349
I	539
J	4269
K	138
L	605
M	799
N	221
O	212
P	454
Q	51
R	730
S	1325
T	250
U	32
V	316
W	91
Y	57
Z	83
.	6
. 	4
.M	1
.O	1
.R	1
/	1
/A	1
0	2
0C	1
0R	1
1	3
11	6
3	2
3R	1
4	1
40	1
5	1
7	1
A	37430
A 	1714
A.	2
AA	1808
AB	8383
AC	10350
AD	12944
AE	2032
AF	3311
AG	8406
AH	8554
AI	7736
AJ	1537
AK	6759
AL	33728
AM	20355
AN	66167
AO	873
AP	4235
AQ	467
AR	57583
AS	22437
AT	12805
AU	11944
AV	6654
AW	3492
AX	444
AY	8637
AZ	5440
A’	1
B	2006
B 	29
BA	16337
BB	1920
BC	72
BD	820
BE	20387
BF	8
BG	14
BH	217
BI	5967
BJ	87
BK	100
BL	4089
BM	46
BN	191
BO	10838
BP	1
BR	10306
BS	1079
BT	76
BU	6014
BV	27
BW	14
BY	1455
BZ	26
C	2535
C 	76
CA	14868
CB	75
CC	3070
CD	416
CE	6216
CF	102
CG	424
CH	34463
CI	6944
CJ	9
CK	13180
CL	3142
CM	243
CN	227
CO	13390
CP	80
CQ	237
CR	3657
CS	355
CT	328
CU	2651
CV	38
CW	66
CX	1
CY	533
CZ	1873
D	18872
D 	411
D.	1
D0	1
DA	11929
DB	431
DC	103
DD	1998
DE	25575
DF	271
DG	1044
DH	494
DI	10252
DJ	289
DK	231
DL	1646
DM	730
DN	608
DO	11324
DP	29
DQ	40
DR	6562
DS	2828
DT	1830
DU	4839
DV	127
DW	1167
DY	1847
DZ	590
E	45490
E 	1505
EA	8636
EB	4233
EC	6187
ED	8995
EE	9487
EF	2633
EG	5121
EH	3872
EI	12007
EJ	1054
EK	3217
EL	32336
EM	6998
EN	34767
EO	2054
EP	2542
EQ	96
ER	91943
ES	24873
ET	12120
EU	2077
EV	4752
EW	4312
EX	641
EY	8884
EZ	17384
F	4240
F 	54
FA	5241
FB	13
FC	46
FD	11
FE	6712
FF	5976
FG	35
FH	27
FI	4796
FJ	11
FK	129
FL	2528
FM	838
FN	231
FO	4457
FP	17
FQ	8
FR	4356
FS	370
FT	547
FU	1604
FV	8
FW	6
FY	108
FZ	28
G	13443
G 	176
GA	13809
GB	292
GC	55
GD	215
GE	14500
GF	92
GG	1899
GH	5108
GI	5213
GJ	29
GK	50
GL	3588
GM	346
GN	1900
GO	9200
GP	60
GQ	25
GR	6773
GS	1386
GT	744
GU	9023
GV	24
GW	199
GX	1
GY	324
GZ	16
H	16613
H 	242
H7	1
HA	32180
HB	406
HC	118
HD	170
HE	22533
HF	160
HG	40
HH	146
HI	11961
HJ	41
HK	350
HL	3431
HM	3607
HN	4607
HO	14573
HP	26
HQ	5
HR	3726
HS	602
HT	2437
HU	7271
HV	87
HW	1073
HY	1087
HZ	31
I	25257
I 	411
I5	1
IA	14922
IB	2657
IC	13905
ID	6129
IE	16346
IF	2089
IG	8653
IH	513
II	884
IJ	348
IK	3151
IL	19700
IM	7294
IN	46922
IO	5808
IP	2502
IQ	433
IR	7868
IS	18392
IT	12938
IU	767
IV	3732
IW	245
IX	714
IY	352
IZ	3291
J	443
J 	4
JA	5193
JB	8
JC	125
JD	93
JE	2444
JG	4
JH	27
JI	1355
JJ	71
JK	105
JL	29
JM	43
JN	90
JO	4982
JP	8
JR	4047
JS	39
JT	66
JU	1077
JV	9
JW	16
JY	7
JZ	10
K	15841
K 	195
KA	9055
KB	163
KC	28
KD	50
KE	13099
KF	70
KG	12
KH	2789
KI	14368
KJ	53
KK	217
KL	3088
KM	620
KN	1308
KO	8681
KP	56
KQ	1
KR	3132
KS	2645
KT	82
KU	2836
KV	42
KW	407
KX	7
KY	1760
KZ	17
L	19857
L 	881
L/	1
LA	30225
LB	2665
LC	1279
LD	6640
LE	39551
LF	1420
LG	1036
LH	950
LI	23614
